Name	Keyword	Price	Rating	Address	T Line	Location
Thaitation	thai,asian,noodle,rice,soup,curry,lunch,dinner	2	3.8	129 Jersey St, Boston, MA 02215	Green E	MFA
Rod Thai Family Taste	thai,asian,noodle,rice,soup,curry,lunch,dinner	2	4.4	94 Peterborough St, Boston, MA 02215	Green E	MFA
M&J Teriyaki	japanese,noodle,skewers,teriyaki,rice,lunch,dinner	2	4.4	130 Jersey St, Boston, MA 02215	Green E	MFA
Matcha Café Maiko	desserts,milk tea,matcha,ice cream	1	4.7	115 Jersey St, Boston, MA 02215	Green E	MFA
College Pizza	italian,pizza,fast food,subs,pasta,lunch,dinner,late night	1	4.1	50 Queensberry St, Boston, MA 02215	Green E	MFA
Sufra Mediterranean Food	mediterranean,sandwich,shwarma,rice,halal,lunch,dinner	2	4.4	52 Queensberry St, Boston, MA 02215	Green E	MFA
The Sipping Room	café,coffee,milk tea,tea,desserts	1	4.8	132 Jersey St, Boston, MA 02215	Green E	MFA
El Pelon Taqueria	mexican,taco,burrito,lunch,dinner	1	4.4	92 Peterborough St, Boston, MA 02215	Green E	MFA
Phinista Café	coffee,cafe,desserts,breakfast,brunch,lunch,	2	4.5	96 Peterborough St, Boston, MA 02215	Green E	MFA
Hojoko	japanese,dinner,alcohol,coffee,sushi,ramen,skewers	3	4.3	1271 Boylston St, Boston, MA 02215	Green D	Fenway
Blaze Pizza	pizza,alcohol,fast food,lunch,dinner	1	4.5	1282 Boylston St #122, Boston, MA 02215	Green D	Fenway
Citizen Public House & Oyster Bar	pub,raw bar,oyster,dinner,cocktails,english,steak,alcohol	2	4.3	1310 Boylston St, Boston, MA 02215	Green D	Fenway
Eventide Fenway	alcohol,lunch,dinner,oyster,raw bar,sandwich	3	4.3	1321 Boylston St, Boston, MA 02215	Green D	Fenway
Tasty Burger	american,hamburger,fast food	1	4.4	86 Van Ness St, Boston, MA 02215	Green D	Fenway
CAVA	mediterranean,healthy,bowl,pasta	1	4.5	1346 Boylston St, Boston, MA 02215	Green D	Fenway
Tatte Bakery & Café	cafe,coffee,bakery,tea,desserts,breakfast,brunch	2	4.5	1352 Boylston St, Boston, MA 02215	Green D	Fenway
Blackbird Fenway	donuts,desserts,coffee,ice cream	1	4.5	20 Kilmarnock St, Boston, MA 02215	Green D	Fenway
Ichiban Yakitori House	japanese,lunch,dinner,alcohol,sushi,skewer	2	4.1	14 Westland Ave, Boston, MA 02115	Green E	Symphony
Oakleaf Cakes Bake Shop	café,coffee,milk tea,tea,desserts,bakery,cake	2	4.3	12 Westland Ave, Boston, MA 02115	Green E	Symphony
The Westland	lunch,dinner,alcohol,american,bar	2	4.2	10 Westland Ave, Boston, MA 02115	Green E	Symphony
Ginger Exchange - Symphony Boston	lunch,dinner,asian,fusion,chinese	2	4.1	250 Huntington Ave, Boston, MA 02115	Green E	Symphony
Caffè Bene	breakfast,lunch,dinner,shaved ice,coffee,tea,cake,bakery	1	4.4	333 Massachusetts Ave, Boston, MA 02115	Green E	Symphony
Pho Basil	lunch,dinner,vietnamese,thai,asian	2	4.4	177 Massachusetts Ave, Boston, MA 02115	Green	Hynes Convention Center
Berklee Noodle Factory	lunch,dinner,asian,japanese,chinese	2	3.5	173 Massachusetts Ave, Boston, MA 02115	Green	Hynes Convention Center
The Bebop	dinner,bar,alcohol,irish,pub	2	4.5	1116 Boylston St, Boston, MA 02215	Green	Hynes Convention Center
J.P. Licks	ice cream,coffee,tea	2	4.4	1106 Boylston St, Boston, MA 02215	Green	Hynes Convention Center
Shah's Halal Food	lunch,dinner,halal,gyros,rice	1	4.1	1124 Boylston St, Boston, MA 02115	Green	Hynes Convention Center
Eddie V's Prime Seafood	fine-dining,dinner,seafood,bar,raw bar	3	4.5	122 Belvidere St, Boston, MA 02199	Green E	Prudential
Pressed Café	coffee,tea,bakery,breakfast,sandwich	2	4.6	105 Huntington Ave, Boston, MA 02199	Green E	Prudential
Blue Bottle Coffee	breakfast,coffee,tea,bakery	2	4.3	800 Boylston St #25, Boston, MA 02199	Green E	Prudential
Back Bay Social	dinner,bar,alcohol,american	2	4.1	867 Boylston St, Boston, MA 02116	Green E	Prudential
Ramsay's Kitchen	lunch,dinner,fine-dining,alcohol	3	4	774 Boylston St, Boston, MA 02199	Green E	Prudential
Joe's on Newbury	american,bar,grill,dinner,lunch	2	4.3	181 Newbury St, Boston, MA 02116	Green	Copley
The Capitol Burger	lunch,dinner,hamburger,alcohol	2	4.5	159 Newbury St, Boston, MA 02116	Green	Copley
Thai Basil	lunch,dinner,asian,thai,fusion	2	4.1	132 Newbury St ste B, Boston, MA 02116	Green	Copley
Piattini	lunch,dinner,italian,pasta	2	4.3	226 Newbury St, Boston, MA 02116	Green	Copley
Dirty Water Dough Company	lunch,dinner,pizza,fast food	1	4.5	222 Newbury St, Boston, MA 02116	Green	Copley